OBJECTID,GeneralPla,GeneralP_1,SHAPESTAre,SHAPESTLen,zoning
1,COM,Commercial,51182.8193359375,915.4696780558894,0
2,COM,Commercial,149514.3603515625,1599.9454148075085,0
3,COM,Commercial,36000.7861328125,1012.7777877243045,0
4,COM,Commercial,99980.5888671875,1499.7781380929905,0
5,COM,Commercial,22053.025390625,611.7781100030527,0
6,COM,Commercial,31424.650390625,742.0762834347141,0
7,COM,Commercial,693410.5927734375,3758.918748603217,0
8,COM,Commercial,1103036.1845703125,5676.433128390183,0
9,COM,Commercial,129052.72265625,2087.43863528993,0
10,COM,Commercial,14015.4150390625,511.1283040589874,0
11,COM,Commercial,183694.32421875,1700.531457464937,0
12,COM-ADMIN,Commercial Administrative and Professional Offices,8684.1484375,390.7797677882099,0
13,COM-ADMIN,Commercial Administrative and Professional Offices,29221.71875,695.2517543707719,0
14,COM-ADMIN,Commercial Administrative and Professional Offices,36597.9521484375,963.1559895288646,0
15,COM-ADMIN,Commercial Administrative and Professional Offices,393730.9208984375,3106.6495391466924,0
16,COM-ADMIN,Commercial Administrative and Professional Offices,257404.8017578125,1947.085387739294,0
17,COM-ADMIN,Commercial Administrative and Professional Offices,82416.853515625,1226.480712320041,0
18,COM-ADMIN,Commercial Administrative and Professional Offices,181786.0888671875,1965.1176136338427,0
19,COM-ADMIN,Commercial Administrative and Professional Offices,135666.0625,1592.1527665772298,0
20,COM-ADMIN,Commercial Administrative and Professional Offices,23844.75,636.8446236819465,0
21,COM-ADMIN,Commercial Administrative and Professional Offices,313341.9072265625,2744.162413953664,0
22,COM-ADMIN,Commercial Administrative and Professional Offices,23850.693359375,830.845480364602,0
23,COM-ADMIN,Commercial Administrative and Professional Offices,58606.033203125,989.582735178241,0
24,COM-ADMIN,Commercial Administrative and Professional Offices,48419.576171875,867.4895964616196,0
25,COM-ADMIN,Commercial Administrative and Professional Offices,26610.9599609375,663.8150964384131,0
26,COM-ADMIN,Commercial Administrative and Professional Offices,899077.9013671875,7181.345652585949,0
27,COM-DT,Commercial Downtown,10660.9541015625,413.5918090821292,0
28,COM-DT,Commercial Downtown,135496.482421875,1747.1649882991803,0
29,COM-DT,Commercial Downtown,55769.3896484375,1022.3880649669977,0
30,COM-DT,Commercial Downtown,15357.4541015625,508.52266382558446,0
31,COM-DT,Commercial Downtown,4475.6376953125,291.7730269612683,0
32,COM-DT,Commercial Downtown,20847.91015625,577.0422953250065,0
33,COM-DT,Commercial Downtown,43050.9013671875,987.3370928675821,0
34,COM-DT,Commercial Downtown,41529.0166015625,887.4961013503479,0
35,COM-DT,Commercial Downtown,65663.724609375,1221.5526421424727,0
36,COM-DT,Commercial Downtown,53862.8837890625,1089.074755488448,0
37,COM-DT,Commercial Downtown,15202.6259765625,565.843692065903,0
38,COM-DT,Commercial Downtown,257169.4677734375,2551.0508114145905,0
39,COM-DT,Commercial Downtown,179649.201171875,1737.257346050374,0
40,COM-IND,Commercial Industrial and Service,661833.7880859375,3693.367778913042,0
41,COM-IND,Commercial Industrial and Service,28662.0771484375,689.6787754568714,0
42,COM-IND,Commercial Industrial and Service,14705.8720703125,554.5764086341195,0
43,COM-IND,Commercial Industrial and Service,96701.0048828125,1454.4797471871802,0
44,COM-RES,NA,145040.1923828125,2824.7518531172173,0
45,OR,NA,246021.0185546875,4039.698400012085,0
46,OS-EDU,Open Space Educational/Environmental Resourses Area,1186935.7939453125,5808.074872628044,0
47,OS-PRK,Open Space Parkland,11596.2509765625,540.7786059206418,0
48,OS-PRK,Open Space Parkland,32265.6767578125,956.4851836656003,0
49,OS-PRK,Open Space Parkland,45170.6982421875,1321.6467439548026,0
50,OS-PRK,Open Space Parkland,148993.806640625,2043.7002463218207,0
51,OS-PRK,Open Space Parkland,880378.169921875,8929.496952533222,0
52,OS-PRK,Open Space Parkland,16505.6357421875,569.0778597571183,0
53,OS-PRK,Open Space Parkland,66301.677734375,1107.8532850203585,0
54,OS-PRK,Open Space Parkland,334226.216796875,2459.2762910193132,0
55,OS-PRK,Open Space Parkland,78383.447265625,1597.118135820623,0
56,OS-PRV,NA,305960.6630859375,4672.516565131174,0
57,OS-PRV,NA,144637.52734375,1728.7215821628301,0
58,OS-PUB,NA,43664.892578125,835.8837632069415,0
59,OS-PUB,NA,11224587.482421875,15616.0284104859,0
60,OS-PUB,NA,70401.859375,1878.431075009423,0
61,OS-PUB,NA,215721.0986328125,3698.8064794722745,0
62,OS-PUB,NA,31099.7333984375,747.9184148429534,0
63,OS-PUB,NA,605322.3125,3939.537349283693,0
64,OS-PUB,NA,80880.1650390625,1982.8716774722845,0
65,OS-PUB,NA,65332.1279296875,2304.9037112008327,0
66,OS-PUB,NA,123516.4814453125,1399.4115575388278,0
67,OS-PUB,NA,191784.1162109375,1874.925278432577,0
68,OS-PUB,NA,100496.568359375,1899.6041774703235,0
69,OS-PUB,NA,98670.3251953125,2070.6477188913755,0
70,OS-PUB,NA,37034.048828125,775.887392519413,0
71,OS-PUB,NA,91217.330078125,1683.4956475599672,0
72,OS-PUB,NA,69130.220703125,1293.3280189103739,0
73,OS-PUB,NA,83631.546875,1628.1358637762535,0
74,OS-PUB,NA,1334455.7255859375,8240.880125744428,0
75,OS-SHR,Open Space Shoreline/Wetland Conservation Area,64587.556640625,1216.5174999801907,0
76,OS-SHR,Open Space Shoreline/Wetland Conservation Area,1710.9560546875,369.1190448809438,0
77,OS-SHR,Open Space Shoreline/Wetland Conservation Area,11361.0302734375,443.49010615941364,0
78,OS-SHR,Open Space Shoreline/Wetland Conservation Area,180230.1884765625,3659.3354218170525,0
79,OS-SHR,Open Space Shoreline/Wetland Conservation Area,25370.958984375,796.7840951138138,0
80,OS-SHR,Open Space Shoreline/Wetland Conservation Area,2313479.7490234375,12094.22571169861,0
81,OS-SHR,Open Space Shoreline/Wetland Conservation Area,503001.6689453125,3297.8879468043942,0
82,OS-SHR,Open Space Shoreline/Wetland Conservation Area,85862.1630859375,1253.4635756131674,0
83,OS-SHR,Open Space Shoreline/Wetland Conservation Area,5290.853515625,379.62147450289393,0
84,PUB-FAC,Public Facilities,20378.9169921875,573.5443944021946,0
85,PUB-FAC,Public Facilities,4243.2744140625,365.39986955572374,0
86,PUB-FAC,Public Facilities,1494.8134765625,199.3062526900423,0
87,PUB-FAC,Public Facilities,1104.4873046875,161.59224695624715,0
88,PUB-FAC,Public Facilities,27522.833984375,669.7520076496886,0
89,PUB-FAC,Public Facilities,620183.3154296875,3733.938920499182,0
90,PUB-FAC,Public Facilities,66498.9892578125,1113.0450221472731,0
91,PUB-SCH,Public Schools,264072.0009765625,2367.3480860082723,0
92,PUB-SCH,Public Schools,2485842.4931640625,10246.16430521707,0
93,PUB-SCH,Public Schools,456071.484375,2994.562899693085,0
94,RES-HD,Residential High Density,79297.2734375,1327.4787688176498,2
95,RES-HD,Residential High Density,20962.125,594.7112141523436,2
96,RES-HD,Residential High Density,32312.99609375,838.9201322879552,2
97,RES-HD,Residential High Density,29736.234375,794.2898870812363,2
98,RES-HD,Residential High Density,108983.8994140625,2154.6006909531234,2
99,RES-HD,Residential High Density,197177.990234375,2164.733004794417,2
100,RES-HD,Residential High Density,52631.90234375,1057.28292624363,2
101,RES-HD,Residential High Density,20886.51171875,605.560863577421,2
102,RES-HD,Residential High Density,48517.251953125,2350.4765429080894,2
103,RES-HD,Residential High Density,408245.6201171875,4897.739199419791,2
104,RES-HD,Residential High Density,193338.826171875,2620.1791430442263,2
105,RES-HD,Residential High Density,212249.529296875,1787.2831296929871,2
106,RES-HD,Residential High Density,68580.087890625,1258.9359926431541,2
107,RES-HD,Residential High Density,152223.75390625,2133.3684063740498,2
108,RES-HD,Residential High Density,411407.7646484375,4636.75941748143,2
109,RES-HD,Residential High Density,15822.7685546875,1143.3793181156682,2
110,RES-HD,Residential High Density,79876.056640625,1347.4467852268642,2
111,RES-HD,Residential High Density,1564511.583984375,7454.249577715908,2
112,RES-HD,Residential High Density,109.43359375,50.29291334170968,2
113,RES-HD,Residential High Density,160361.3671875,1629.4675887476885,2
114,RES-HD,Residential High Density,402910.177734375,3301.437650983157,2
115,RES-HD,Residential High Density,302675.138671875,3336.096056221756,2
116,RES-HD,Residential High Density,444680.939453125,4904.221954223711,2
117,RES-HD,Residential High Density,1160393.150390625,10792.472410917513,2
118,RES-HD,Residential High Density,583208.05078125,5935.920570542634,2
119,RES-HD,Residential High Density,1514863.6357421875,13217.105816965557,2
120,RES-LD,Residential Low Density,8296.548828125,414.2679330651656,1
121,RES-LD,Residential Low Density,376766.5048828125,6561.617842440086,1
122,RES-LD,Residential Low Density,11056.1015625,514.5062744833367,1
123,RES-LD,Residential Low Density,19085.7822265625,810.5742419836231,1
124,RES-LD,Residential Low Density,22431.73046875,833.9029044587246,1
125,RES-LD,Residential Low Density,883928.72265625,11653.845850697782,1
126,RES-LD,Residential Low Density,77623.869140625,1462.161066578216,1
127,RES-LD,Residential Low Density,23969.2744140625,825.2214030009382,1
128,RES-LD,Residential Low Density,69423.1787109375,1075.1925588988154,1
129,RES-LD,Residential Low Density,182937.173828125,2259.5660380730365,1
130,RES-LD,Residential Low Density,35491.92578125,807.2391688233533,1
131,RES-LD,Residential Low Density,62961.818359375,1305.9193231628562,1
132,RES-LD,Residential Low Density,454518.162109375,5307.9424243577405,1
133,RES-LD,Residential Low Density,65426.0458984375,1355.8576702085202,1
134,RES-LD,Residential Low Density,65877.5625,1133.342359882759,1
135,RES-LD,Residential Low Density,28225.8623046875,941.7280218823805,1
136,RES-LD,Residential Low Density,46274.7080078125,1422.6075876648783,1
137,RES-LD,Residential Low Density,120471.6513671875,1470.3312759108287,1
138,RES-LD,Residential Low Density,80801.408203125,1131.7653262295726,1
139,RES-LD,Residential Low Density,26810.658203125,882.7437670993943,1
140,RES-LD,Residential Low Density,134461.775390625,1688.2750324248357,1
141,RES-LD,Residential Low Density,140077.58203125,1742.663083269707,1
142,RES-LD,Residential Low Density,75559.435546875,1500.467776249439,1
143,RES-LD,Residential Low Density,181990.9453125,1797.2072836073767,1
144,RES-LD,Residential Low Density,242620.5869140625,1996.9561348839911,1
145,RES-LD,Residential Low Density,118638.9658203125,2027.4327828655898,1
146,RES-LD,Residential Low Density,85994.052734375,1162.8189303917493,1
147,RES-LD,Residential Low Density,32146.419921875,854.9749653952031,1
148,RES-LD,Residential Low Density,2807421.8203125,15502.985783098056,1
149,RES-LD,Residential Low Density,204235.380859375,2502.6594576051366,1
150,RES-LD,Residential Low Density,75518.6923828125,1259.0812830001237,1
151,RES-LD,Residential Low Density,11510.73828125,485.70575166504284,1
152,RES-LD,Residential Low Density,108511.4775390625,1396.0808261897782,1
153,RES-LD,Residential Low Density,13564.384765625,546.7412293592236,1
154,RES-LD,Residential Low Density,315207.18359375,3518.519581743579,1
155,RES-LD,Residential Low Density,89479.3671875,1178.5118870927406,1
156,RES-LD,Residential Low Density,24385.37890625,737.2674142328038,1
157,RES-LD,Residential Low Density,150803.6748046875,2368.794790790571,1
158,RES-LD,Residential Low Density,36397.0810546875,1041.3529805343246,1
159,RES-LD,Residential Low Density,214344.0087890625,2781.48033847353,1
160,RES-LD,Residential Low Density,162961.072265625,1711.7217243505472,1
161,RES-LD,Residential Low Density,50923.8251953125,1192.5387388047266,1
162,RES-LD,Residential Low Density,794409.8935546875,8927.496584164093,1
163,RES-LD,Residential Low Density,81259.255859375,1337.718726067189,1
164,RES-LD,Residential Low Density,598545.244140625,7767.744323513228,1
165,RES-LD,Residential Low Density,171107.771484375,1820.5032254631567,1
166,RES-LD,Residential Low Density,95621.427734375,1479.808229477406,1
167,RES-LD,Residential Low Density,17532.4072265625,584.9152102780341,1
168,RES-LD,Residential Low Density,441161.609375,5852.900396737536,1
169,RES-LD,Residential Low Density,136373.306640625,1649.3271735429844,1
170,RES-LD,Residential Low Density,111591.947265625,1618.8010220735282,1
171,RES-LD,Residential Low Density,44451.0888671875,811.9166305856148,1
172,RES-LD,Residential Low Density,62426.6162109375,1602.3843959940689,1
173,RES-LD,Residential Low Density,66346.396484375,1468.5564816493518,1
174,RES-LD,Residential Low Density,149417.525390625,1810.1813126353918,1
175,RES-LD,Residential Low Density,518640.0419921875,4840.064703691307,1
176,RES-LD,Residential Low Density,424405.8134765625,3952.593015516843,1
177,RES-LD,Residential Low Density,47762.4306640625,920.7026028196553,1
178,RES-LD,Residential Low Density,154772.142578125,2204.1951485266472,1
179,RES-LD,Residential Low Density,472600.59375,3867.8258072240437,1
180,RES-LD,Residential Low Density,373625.4384765625,4506.35616550967,1
181,RES-LD,Residential Low Density,69436.0498046875,1190.0179798955494,1
182,RES-LD,Residential Low Density,126683.6796875,1610.2813755903828,1
183,RES-LD,Residential Low Density,20903.6416015625,621.4950748424607,1
184,RES-LD,Residential Low Density,82756.8447265625,1291.8460015870357,1
185,RES-LD,Residential Low Density,121888.8876953125,1444.5913494188146,1
186,RES-LD,Residential Low Density,177841.142578125,3143.956110270126,1
187,RES-LD,Residential Low Density,139239.349609375,2870.878305665193,1
188,RES-LD,Residential Low Density,130369.94140625,1976.6265170832137,1
189,RES-LD,Residential Low Density,10141.177734375,437.00332204149515,1
190,RES-LD,Residential Low Density,136930.67578125,1783.165746547586,1
191,RES-LD,Residential Low Density,93287.7890625,1426.5772384061017,1
192,RES-LD,Residential Low Density,732344.0859375,3825.0250913782834,1
193,RES-LD,Residential Low Density,111125.9052734375,1464.64850069144,1
194,RES-LD,Residential Low Density,124014.8525390625,1535.3982496365322,1
195,RES-LD,Residential Low Density,126136.6318359375,1330.555833787076,1
196,RES-LD,Residential Low Density,152383.19140625,2707.4738959066162,1
197,RES-LD,Residential Low Density,196274.2265625,2648.329873081775,1
198,RES-LD,Residential Low Density,14461.509765625,568.8940744449669,1
